"ar","lengd","sum_fjoldi","cum","max(cum)","percent_per_year"
1985,19,1,1,4368,0.000228937728937729
1985,25,9,10,4368,0.00206043956043956
1985,26,5,15,4368,0.00114468864468864
1985,27,32,47,4368,0.00732600732600733
1985,28,39,86,4368,0.00892857142857143
1985,29,55,141,4368,0.0125915750915751
1985,30,90,231,4368,0.0206043956043956
1985,31,113,344,4368,0.0258699633699634
1985,32,196,540,4368,0.0448717948717949
1985,33,212,752,4368,0.0485347985347985
1985,34,311,1063,4368,0.0711996336996337
1985,35,347,1410,4368,0.0794413919413919
1985,36,376,1786,4368,0.0860805860805861
1985,37,424,2210,4368,0.0970695970695971
1985,38,407,2617,4368,0.0931776556776557
1985,39,344,2961,4368,0.0787545787545788
1985,40,298,3259,4368,0.0682234432234432
1985,41,242,3501,4368,0.0554029304029304
1985,42,210,3711,4368,0.0480769230769231
1985,43,144,3855,4368,0.032967032967033
1985,44,131,3986,4368,0.0299908424908425
1985,45,111,4097,4368,0.0254120879120879
1985,46,71,4168,4368,0.0162545787545788
1985,47,52,4220,4368,0.0119047619047619
1985,48,41,4261,4368,0.00938644688644689
1985,49,34,4295,4368,0.00778388278388278
1985,50,25,4320,4368,0.00572344322344322
1985,51,14,4334,4368,0.00320512820512821
1985,52,11,4345,4368,0.00251831501831502
1985,53,9,4354,4368,0.00206043956043956
1985,54,5,4359,4368,0.00114468864468864
1985,55,5,4364,4368,0.00114468864468864
1985,56,2,4366,4368,0.000457875457875458
1985,57,1,4367,4368,0.000228937728937729
1985,58,1,4368,4368,0.000228937728937729
1986,20,1,1,3657,0.000273448181569593
1986,24,1,2,3657,0.000273448181569593
1986,25,4,6,3657,0.00109379272627837
1986,26,6,12,3657,0.00164068908941756
1986,27,6,18,3657,0.00164068908941756
1986,28,19,37,3657,0.00519551544982226
1986,29,52,89,3657,0.0142193054416188
1986,30,100,189,3657,0.0273448181569593
1986,31,142,331,3657,0.0388296417828821
1986,32,163,494,3657,0.0445720535958436
1986,33,240,734,3657,0.0656275635767022
1986,34,251,985,3657,0.0686354935739677
1986,35,282,1267,3657,0.0771123872026251
1986,36,282,1549,3657,0.0771123872026251
1986,37,292,1841,3657,0.079846869018321
1986,38,328,2169,3657,0.0896910035548264
1986,39,302,2471,3657,0.082581350834017
1986,40,264,2735,3657,0.0721903199343724
1986,41,197,2932,3657,0.0538692917692097
1986,42,157,3089,3657,0.042931364506426
1986,43,127,3216,3657,0.0347279190593383
1986,44,99,3315,3657,0.0270713699753897
1986,45,89,3404,3657,0.0243368881596937
1986,46,53,3457,3657,0.0144927536231884
1986,47,44,3501,3657,0.0120317199890621
1986,48,38,3539,3657,0.0103910308996445
1986,49,37,3576,3657,0.0101175827180749
1986,50,16,3592,3657,0.00437517090511348
1986,51,24,3616,3657,0.00656275635767022
1986,52,20,3636,3657,0.00546896363139185
1986,53,9,3645,3657,0.00246103363412633
1986,54,6,3651,3657,0.00164068908941756
1986,55,4,3655,3657,0.00109379272627837
1986,56,1,3656,3657,0.000273448181569593
1986,57,1,3657,3657,0.000273448181569593
1987,20,1,1,2279,0.000438788942518649
1987,21,1,2,2279,0.000438788942518649
1987,22,1,3,2279,0.000438788942518649
1987,23,2,5,2279,0.000877577885037297
1987,24,6,11,2279,0.00263273365511189
1987,25,5,16,2279,0.00219394471259324
1987,26,14,30,2279,0.00614304519526108
1987,27,19,49,2279,0.00833698990785432
1987,28,31,80,2279,0.0136024572180781
1987,29,42,122,2279,0.0184291355857832
1987,30,84,206,2279,0.0368582711715665
1987,31,104,310,2279,0.0456340500219394
1987,32,127,437,2279,0.0557261956998684
1987,33,152,589,2279,0.0666959192628346
1987,34,173,762,2279,0.0759104870557262
1987,35,171,933,2279,0.0750329091706889
1987,36,220,1153,2279,0.0965335673541027
1987,37,206,1359,2279,0.0903905221588416
1987,38,171,1530,2279,0.0750329091706889
1987,39,118,1648,2279,0.0517770952172005
1987,40,136,1784,2279,0.0596752961825362
1987,41,96,1880,2279,0.0421237384817903
1987,42,91,1971,2279,0.039929793769197
